Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
XAI,CME,E-mini Industrial Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
EW4,CME,E-mini S&P 500 Weekly Options - Week 4,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
HXE,COMEX,Copper Option,Metals,Base,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
BWF,CBOT,Black Sea Wheat Financially Settled (Platts) Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday 7:00 p.m. – 1:20 p.m. (8:00 p.m. - 2:20 p.m. ET)&nbsp;,19:20UTC
DC,CME,Class III Milk Futures,Agriculture,Dairy,false,Sunday - Friday &nbsp;5:00 p.m. - 1:55 p.m. CT with&nbsp; a daily trading halt from 4:00 p.m. to 5:0,22:00UTC
NQ,CME,E-mini Nasdaq-100 Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
QNE,CME,E-mini Nasdaq-100 End-of-Month Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
AYV,NYMEX,Mars (Argus) vs. WTI Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GF,CME,Feeder Cattle Options,Agriculture,Livestock,true,CME ClearPort:,ERROR,Index 0 out of bounds for length 0
A8K,NYMEX,Conway Propane (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LIB,CBOT,7-year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SON,CME,Quarterly IMM SONIA Futures,Interest Rate,Stirs,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
XK,CBOT,Mini Soybean Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - Friday  8:30 a.m. - 1:45 p.m. CT,19:45UTC
LCE,NYMEX,Light Sweet Crude Oil European Financial Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OH,NYMEX,NY Harbor ULSD Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
E1C,CME,E-mini S&P 500 Wednesday Weekly Options - Week 1,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
HIL,NYMEX,WTI Houston (Argus) vs. WTI Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
-,CME,Malaysian Palm Oil Calendar Swaps,Agriculture,Grain And Oilseed,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HGS,COMEX,Copper Financial Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
RY,CME,Euro/Japanese Yen Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MTF,NYMEX,Coal (API2) CIF ARA (ARGUS-McCloskey) Futures,Energy,Coal,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CRB,NYMEX,Gulf Coast CBOB Gasoline A2 (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AE5,NYMEX,Argus LLS vs. WTI (Argus) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
G6B,NYMEX,Natural Gas (Henry Hub) Last-day Financial 6 Month Spread Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
XAE,CME,E-mini Energy Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
GNF,CME,Nonfat Dry Milk Options,Agriculture,Dairy,true,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
NKD,CME,Nikkei/USD Futures,Equities,International Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m/ CT) with a 60-minute break each day beg,22:00UTC
F1U,CBOT,5-Year USD MAC Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m.,22:00UTC
EV3,CME,S&P 500 Weekly Options - Week 3,Equities,US Index,true,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
RSV,CME,E-mini Russell 1000 Value Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET with&nbsp; trading halt 4:15 p.m. - 4:30 p.m.<br> BTIC: Sun,22:00UTC
M2K,CME,Micro E-mini Russell 2000 Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
E7,CME,E-mini Euro FX Futures,FX,Majors,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
T7K,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZF1,CBOT,5-Year T-Note Weekly Options - Week 1,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
A6J,NYMEX,Natural Gas Calendar Strip Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
BTC,CME,Bitcoin Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m/ CT) with a 60-minute break each day beg,22:00UTC
WY5,CBOT,10-Year Treasury Note Wednesday Weekly Options - Week 5,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
XAU,CME,E-mini Utilities Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
MPX,NYMEX,NY Harbor ULSD Financial Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CY,NYMEX,Brent Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
ZB2,CBOT,U.S. Treasury Bond Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
6Z,CME,South African Rand Futures,FX,Emerging Market,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
M6E,CME,Micro EUR/USD Futures,FX,Micros,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
AEP,COMEX,Aluminium European Premium Duty-Unpaid (Metal Bulletin) Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
EDP,COMEX,Aluminium European Premium Duty-Paid (Metal Bulletin) Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET&nbsp;(5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minu,23:00UTC
OB,NYMEX,RBOB Gasoline Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
R3E,CME,E-miniRussell 2000 Weekly Options - Week 3,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
LIL,CBOT,15-year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
AFH,NYMEX,WTS (Argus) vs. WTI Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
XAV,CME,E-mini Health Care Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
Z3N,CBOT,3-Year T-Note Futures,Interest Rate,US Treasury,false,Sunday – Friday 5:00 p.m. – 4:00 p.m.  CT,22:00UTC
MYM,CBOT,Micro E-mini Dow Jones Industrial Average Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
MFB,NYMEX,Gulf Coast HSFO (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
ZR,CBOT,Rough Rice Futures,Agriculture,Grain And Oilseed,false,Monday - Friday: &nbsp;8:30 a.m. - 1:20 p.m. CT<br> Pre-Open: Monday - Friday:&nbsp;&nbsp;8:00 a.m. ,ERROR,Index 0 out of bounds for length 0
LIC,CBOT,3-Year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
RLX,NYMEX,RBOB Gasoline Financial Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
S4A,CME,S&P 500 Monday Weekly Options - Week 4,Equities,US Index,true,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
AG2,NYMEX,Natural Gas (Henry Hub) Last-day Financial 2 Month Spread Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
EW1,CME,E-mini S&P 500 Weekly Options - Week 1,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
PA,NYMEX,Palladium Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZGL,NYMEX,NYISO Zone G Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OSD,CBOT,Short-Dated New Crop Soybean Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
CB,CME,Cash-settled Butter Futures,Agriculture,Dairy,false,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
T3L,NYMEX,NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
XAK,CME,E-mini Technology Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
RF,CME,Euro/Swiss Franc Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
XC,CBOT,Mini-Corn Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - Friday  8:30 a.m. - 1:45 p.m. CT,19:45UTC
AZ1,NYMEX,Ethanol T2 FOB Rdam Including Duty (Platts) Futures,Energy,Biofuels,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZN3,CBOT,10-Year T-Note Weekly Options - Week 3,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
SR3,CME,Options on Three-Month SOFR Futures,Interest Rate,Stirs,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
GDK,CME,Class IV Milk Options,Agriculture,Dairy,true,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to &nbsp;5:,19:55UTC
RS1,CME,E-mini Russell 1000 Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
XAP,CME,E-mini Consumer Staples Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
ADB,NYMEX,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AU6,NYMEX,ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WE5,CME,EUR/USD Weekly Wednesday Options - Week 5,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
CB,CME,Cash-settled Butter Options,Agriculture,Dairy,true,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
ATX,NYMEX,NY Harbor ULSD Average Price Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
CPO,CME,USD Malaysian Crude Palm Oil Calendar Futures,Agriculture,Grain And Oilseed,false,Monday – Friday  8:30 a.m. – 1:20 p.m.,19:20UTC
CHU,CME,CHF/USD Monthly Options,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
XAB,CME,E-mini Materials Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
GNF,CME,Nonfat Dry Milk Futures,Agriculture,Dairy,false,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
IDL,NYMEX,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
HOB,NYMEX,NY Harbor ULSD Brent Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
JKM,NYMEX,LNG Japan/Korea Marker (Platts) Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
SIL,COMEX,Micro Silver Futures,Metals,Precious,false,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
EX,CME,Micro E-mini Standard and Poors 500 Stock Price EOM Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
A8I,NYMEX,Mont Belvieu Iso-Butane (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LID,CBOT,4-year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SP,CME,S&P 500 Options,Equities,US Index,true,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
RBB,NYMEX,RBOB Gasoline Brent Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
RTM,CME,E-mini Russell 2000 EOM Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
SGB,NYMEX,Singapore Gasoil (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a 60-minute break each,22:00UTC
XAY,CME,E-mini Consumer Discretionary Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
M6A,CME,Micro AUD/USD Futures,FX,Micros,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
ESG,CME,E-mini S&P 500 ESG Index Futures,Equities,US Index,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
CVR,NYMEX,Chicago Ethanol (Platts) Average Price Option,Energy,Biofuels,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GD,CME,S&P-GSCI Commodity Index Futures,Agriculture,Commodity Index,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
CZ6,CBOT,Corn July-Dec CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
9C,NYMEX,Brent Crude Oil Last Day Financial Calendar Spread (1 Month) Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
G3B,NYMEX,Natural Gas (Henry Hub) Last-day Financial 3 Month Spread Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ALY,NYMEX,Gulf Coast ULSD (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m.&nbsp;ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a 60-minute break,22:00UTC
E2C,CME,E-mini S&P 500 Wednesday Weekly Options - Week 2,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
OG2,COMEX,Gold Weekly Options - Week 2,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OZT,CBOT,2-Year T-Note Options,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
SP,CME,S&P 500 Futures,Equities,US Index,false,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
RTO,CME,E-mini Russell 2000 Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
WOL,NYMEX,PJM Western Hub Real-Time Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WCW,NYMEX,Hardisty Western Canadian Select (NE2) Monthly Index Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OG1,COMEX,Gold Weekly Options - Week 1,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
QG,NYMEX,E-mini Natural Gas Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
TL,NYMEX,Freight Route TD3C (Baltic) Futures,Energy,Freight,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
M1B,NYMEX,Micro Gasoil 0.1% Barges FOB ARA (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
BUS,COMEX,U.S. Midwest Busheling Ferrous Scrap (AMM) Futures,Metals,Ferrous,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
A7E,NYMEX,Argus Propane Far East Index Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CNH,CME,Standard-Size USD/Offshore RMB (CNH) Futures,FX,Cross Rates,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
ZO,CBOT,Oats Futures,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
BCF,CBOT,Black Sea Corn Financially Settled (Platts) Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday 7:00 p.m. – 1:20 p.m. (8:00 p.m. - 2:20 p.m. ET)&nbsp;,19:20UTC
AA5,NYMEX,EIA Flat Tax On-Highway Diesel Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AA8,NYMEX,Group Three Sub-octane Gasoline (Platts) vs. RBOB Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
1EU,CME,EUR/USD Weekly Friday Options - Week 1,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
XW,CBOT,Mini-sized Chicago SRW Wheat Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - Friday  8:30 a.m. - 1:45 p.m. CT,19:45UTC
ZS1,CBOT,Soybean Weekly Options - Week 1,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
E2A,CME,E-mini S&P 500 Monday Weekly Options - Week 2,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
ZF2,CBOT,5-Year T-Note Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
AWJ,NYMEX,LLS (Argus) vs. WTI Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
SDI,CME,S&P 500 Quarterly Dividend Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
